Student_ID,Course_Name,Gender(F1),Major(F2),Level(F3),High_School_GPA(F4),Home_City_Code(F5),University_GPA(F6),Course_Type(F7),Teacher_Grade(F8),Grade
S0001,Eng101,F,SE,L1,EXCELLENT,IN_REGION,GOOD,L,NACDM,80
S0002,Phys101,F,CS,L1,GOOD,IN_REGION,VERYGOOD,C,PROF,60
S0003,Chem101,F,SE,L3,VERYGOOD,OUT_REGION,PASS,L,PROF,80
S0004,Bio101,M,CS,L2,VERYGOOD,IN_REGION,EXCELLENT,B,NACDM,99
S0005,Chem101,M,SE,L1,PASS,OUT_REGION,GOOD,B,ASOC,97
S0006,Eng101,M,IT,L3,GOOD,IN_REGION,EXCELLENT,L,PROF,54
S0007,Bio101,M,SE,L3,EXCELLENT,OUT_REGION,PASS,L,NACDM,63
S0008,Phys101,F,IT,L3,EXCELLENT,OUT_REGION,EXCELLENT,C,ASSTS,56
S0009,Bio101,F,SE,L4,PASS,OUT_REGION,VERYGOOD,B,NACDM,61
S0010,Eng101,F,IS,L2,GOOD,IN_REGION,VERYGOOD,L,LECTR,96
S0011,Bio101,M,IT,L2,EXCELLENT,IN_REGION,PASS,C,ASSTS,86
S0012,Eng101,F,CS,L2,GOOD,OUT_REGION,EXCELLENT,L,PROF,98
S0013,Chem101,F,SE,L2,VERYGOOD,OUT_REGION,GOOD,C,ASOC,57
S0014,Phys101,M,CS,L4,EXCELLENT,IN_REGION,EXCELLENT,B,NACDM,82
S0015,Phys101,M,SE,L4,PASS,IN_REGION,VERYGOOD,L,LECTR,67
S0016,Chem101,F,CS,L2,GOOD,OUT_REGION,PASS,B,ASSTS,60
S0017,Math101,F,SE,L4,VERYGOOD,OUT_REGION,PASS,L,ASOC,73
S0018,Phys101,F,IS,L2,GOOD,OUT_REGION,GOOD,C,NACDM,66
S0019,Math101,M,SE,L3,VERYGOOD,OUT_REGION,PASS,B,NACDM,62
S0020,Eng101,M,IS,L1,PASS,OUT_REGION,GOOD,L,NACDM,62
S0021,Math101,M,IT,L3,GOOD,IN_REGION,EXCELLENT,B,ASOC,82
S0022,Chem101,M,IS,L4,PASS,IN_REGION,EXCELLENT,C,LECTR,98
S0023,Bio101,F,IT,L4,GOOD,OUT_REGION,GOOD,C,ASSTS,66
S0024,Chem101,M,IS,L4,EXCELLENT,OUT_REGION,PASS,L,NACDM,76
